Question,Answer
Alarm Management,An Alarm Management System refers to the component or software solution that monitors and manages alarms related to security and access control events within a physical environment
To Configure Alarm Managment.,"To configure Alarm Management following modules should be configured : Alarm Class, Escalation, Instruction, Remarks, Alarm Policy, Policy Assignment"
Alarm Class,"In this, you can create a particular type of alarm based on the priority level, such as Critical, Warning, Attention & Normal. These alarm classes can be color-coded."
How to configure Alarm Class ?,"1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Alarm Management (Top menu bar) > Click on Alarm Class
4. Choose the Alarm Type from the drop-down list
5. Choose a back color and text color from the drop-down list
6. Click on save to complete the settings
"
Escalation,"In this section, you can escalate the alarm to different authorization levels based on the duration.

"
How to configure Escalation ?,"Steps:
1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Escalation (Top menu bar) > Click on Add New button
4. Define the name of the Escalation Policy
5. Select the level of Escalation from the drop-down list.                                                             
6. Enter the Employee ID, Time Duration & Duration Type (Minute, Hour, Days)
7. Click on the checkbox to Escalate to Branch option and Select Time Duration & Duration Type (Minute, Hour, Days)
8. Click on save to complete the settings        
Notes:
Escalate to Employee : Based on the severity of the situation, you can escalate the alarm to a maximum of 5 employees based on their roles and responsibilities.
Escalate to Branch option :You can also escalate the alarm to the entire branch or branch by selecting the checkbox of Escalate to Branch. 
It will send the alarm to not only the parent branch but it will also send it to the 
child branch (Manage the Branch Hierarchy in Settings->Master Configuration->Branch Hierarchy)

"
Instruction,This section is designed to create the message that needs to be put in the alarm escalated to the employee(s). Instructions are to be put in correspondence with the level of Escalation defined in the previous section.
How to configure Instruction,"Step - 

1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Instruction (Top menu bar) > Click on Add New button
4. Enter the Name of the Alarm Instruction
5. Define the Instruction depending upon the levels defined in the levels of Escalation
6. Click on Save to complete the setting
"
Remarks,This section is designed to create the Remark that needs to be put in the alarm escalated to the employee(s). Remarks are to correspond with the instructions defined in the previous section.
How to configure Remarks ?,"Step - 

1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Remarks (Top menu bar) > Click on Add New button
4. Enter the Name of the Alarm Remarks
5. Define the Remark (s) depending upon the levels defined in the levels of Escalation
6. Click on Save to complete the setting

"
